SH [K],P_su [Pa],T_ex [°C],P_ex [Pa],RPM,m_dot_wf [kg/s],Torque [Nm],W_dot_shaft [W]
10,300000,64.9,1270000,800,0.019472222,1.04,857
10,300000,64.5,1270000,1000,0.025111111,1.05,1081
10,300000,63.4,1270000,2000,0.053138889,1.1,2257
10,300000,64.1,1270000,3000,0.080805556,1.15,3530
10,300000,66.6,1270000,4000,0.108083333,1.19,4898
10,300000,76.8,1270000,6000,0.161583333,1.29,7922
10,350000,62.8,1270000,800,0.02325,1.03,843
10,350000,62.4,1270000,1000,0.029805556,1.05,1082
10,350000,62,1270000,2000,0.06225,1.14,2339
10,350000,63.2,1270000,3000,0.094361111,1.2,3691
10,350000,66.3,1270000,4000,0.126083333,1.25,5140
10,350000,77.7,1270000,6000,0.188444444,1.35,8324
10,400000,62.3,1270000,800,0.027027778,0.98,808
10,400000,62.1,1270000,1000,0.034472222,1.04,1064
10,400000,62.2,1270000,2000,0.071361111,1.17,2401
10,400000,64.1,1270000,3000,0.107916667,1.25,3833
10,400000,67.7,1270000,4000,0.144083333,1.31,8362
10,400000,80.3,1270000,6000,0.215305556,1.41,8707
10,300000,84.1,1770000,800,0.018194444,1.41,1161
10,300000,83.4,1770000,1000,0.023805556,1.4,1437
10,300000,81.3,1770000,2000,0.051583333,1.4,2874
10,300000,80.9,1770000,3000,0.079,1.43,4407
10,300000,82.3,1770000,4000,0.106027778,1.47,6036
10,300000,90.4,1770000,6000,0.159,1.56,9582
10,350000,80.6,1770000,800,0.021972222,1.42,1166
10,350000,80,1770000,1000,0.028472222,1.42,1458
10,350000,78.5,1770000,2000,0.060666667,1.45,2976
10,350000,78.7,1770000,3000,0.092527778,1.49,4589
10,350000,80.7,1770000,4000,0.124,1.54,6298
10,350000,90,1770000,6000,0.185861111,1.63,10004
10,400000,78.8,1770000,800,0.02575,1.4,1152
10,400000,78.4,1770000,1000,0.033111111,1.42,1460
10,400000,77.4,1770000,2000,0.069777778,1.49,3058
10,400000,78.2,1770000,3000,0.106055556,1.54,4751
10,400000,80.8,1770000,4000,0.141972222,1.59,6540
10,400000,91.2,1770000,6000,0.212694444,1.69,10407
10,300000,98.6,2160000,800,0.017611111,1.69,1383
10,300000,97.8,2160000,1000,0.023166667,1.66,1700
10,300000,94.8,2160000,2000,0.05075,1.63,3341
10,300000,93.6,2160000,3000,0.077944444,1.65,5077
10,300000,94.2,2160000,4000,0.104777778,1.68,6910
10,300000,100.6,2160000,6000,0.157361111,1.77,10863
10,350000,94,2160000,800,0.021361111,1.71,1404
10,350000,93.4,2160000,1000,0.027805556,1.69,1767
10,350000,91,2160000,2000,0.059833333,1.69,3458
10,350000,90.3,2160000,3000,0.091472222,1.71,5275
10,350000,91.5,2160000,4000,0.12275,1.75,7187
10,350000,99.1,2160000,6000,0.184194444,1.84,11301
10,400000,91.2,2160000,800,0.025111111,1.71,1406
10,400000,90.6,2160000,1000,0.032444444,1.71,1755
10,400000,88.8,2160000,2000,0.068888889,1.73,3556
10,400000,88.8,2160000,3000,0.104972222,1.77,5452
10,400000,90.5,2160000,4000,0.140694444,1.81,7445
10,400000,99.3,2160000,6000,0.211027778,1.9,11719
